newid,newtime,dgsvi,dlnprice,vol,dunc
Aluminium,2012/7/20,-8.280001,-0.4330444,1.183798,31.45001
Aluminium,2012/7/27,4.68,-1.154663,0.7804935,-56.45909
Aluminium,2012/8/3,-4.16,-1.728455,0.5294777,68.64339
Aluminium,2012/8/10,0.4699993,0.5890503,1.336315,-42.134
Aluminium,2012/8/17,1.880001,-0.2438354,0.8819859,7.932866
Aluminium,2012/8/24,5.639999,2.453857,0.6844379,-12.13332
Aluminium,2012/8/31,3.76,-0.2666016,1.133616,25.44774
Aluminium,2012/9/7,1.790001,5.440735,1.149261,63.26638
Aluminium,2012/9/14,2.949997,7.441467,2.664159,146.2597
Aluminium,2012/9/21,5.310001,-4.390381,2.336059,-218.9547
Aluminium,2012/9/28,-1.18,-1.269714,1.451367,29.17906
Aluminium,2012/10/5,-0.5999985,-1.408936,1.511535,-17.72987
Aluminium,2012/10/12,-9.900002,-3.571777,0.5541989,-26.85991
Aluminium,2012/10/19,7.150002,-1.389832,1.831589,0.0391841
Aluminium,2012/10/26,1.099998,-1.341248,0.731213,-11.96094
Aluminium,2012/11/2,-1.290001,-0.5470581,0.9600793,2.465746
Aluminium,2012/11/9,2.560001,-0.0136719,0.6627294,3.671628
Aluminium,2012/11/16,-2.560001,3.225403,1.268575,8.474422
Aluminium,2012/11/23,12.8,0.2520142,1.634265,-1.891708
Aluminium,2012/11/30,-3.200001,5.790161,3.043593,63.75074
Aluminium,2012/12/7,-20.27,-2.033325,0.7871436,-84.6636
Aluminium,2012/12/14,-7.74,-0.7576294,0.4661942,-4.285228
Aluminium,2012/12/21,-2.15,-1.187683,0.4848131,24.19403
Aluminium,2012/12/28,-3.870001,-0.7573242,1.184286,-5.194211
Aluminium,2013/1/4,6.450001,-0.5916138,2.17168,37.81075
Aluminium,2013/1/11,10.75,-2.091919,0.830379,-15.12958
Aluminium,2013/1/18,0.8599987,-1.001343,1.877211,24.39265
Aluminium,2013/1/25,-0.4300003,-2.102722,1.225128,-51.12121
Aluminium,2013/2/1,0.3600006,1.62561,0.8488348,34.75248
Aluminium,2013/2/8,0,0.8436279,0.805645,-26.90197
Aluminium,2013/2/15,1.080002,4.86615,1.314223,99.15456
Aluminium,2013/2/22,4.859997,-1.456116,1.375568,-36.1197
Aluminium,2013/3/1,-3.779999,-4.281006,0.6326345,-28.05459
Aluminium,2013/3/8,4.32,2.109924,1.261404,-40.93123
Aluminium,2013/3/15,3.240002,-0.9683228,0.5274049,-10.92904
Aluminium,2013/3/22,-5.400002,-1.360535,0.5075057,-6.039956
Aluminium,2013/3/29,-8.639999,-1.115784,0.3734197,-12.05427
Aluminium,2013/4/5,4.860001,-1.521423,0.8168947,19.74687
Aluminium,2013/4/12,6.489998,0.0562134,0.5253517,3.839743
Aluminium,2013/4/19,1.18,0.951355,1.8812,16.27754
Aluminium,2013/4/26,-1.18,-0.0278931,1.050234,24.79147
Aluminium,2013/5/3,-3.369999,-3.370911,0.8920763,-39.74949
Aluminium,2013/5/10,-3.959999,2.334961,0.6012548,7.902384
Aluminium,2013/5/17,9.899998,-0.2677612,0.9463344,-12.01317
Aluminium,2013/5/24,1.980003,0.8554077,0.316188,-2.050147
Aluminium,2013/5/31,-7.920002,0.6152954,0.4228821,-0.3090948
Aluminium,2013/6/7,1.23,3.013123,0.5994442,19.39189
Aluminium,2013/6/14,-5.099998,-1.604797,0.9145234,3.433084
